term,definition
costal facet,site on the lateral sides of a thoracic vertebra for articulation with the head of a rib.
costal groove,shallow groove along the inferior margin of a rib that provides passage for blood vessels and a nerve.
costoclavicular ligament,band of connective tissue that unites the medial clavicle with the first rib.
coxal bone,hip bone.
cranial,describes a position above or higher than another part of the body proper; also referred to as superior.
cranial cavity,division of the posterior (dorsal) cavity that houses the brain.
cranial nerve,one of twelve nerves connected to the brain that are responsible for sensory or motor functions of the head and neck.
cranial nerve ganglion,sensory ganglion of cranial nerves.
cranium,skull.
creatine phosphate,phosphagen used to store energy from ATP and transfer it to muscle.
cribriform plate,"small, flattened areas with numerous small openings, located to either side of the midline in the floor of the anterior cranial fossa; formed by the ethmoid bone."
cricoid cartilage,portion of the larynx composed of a ring of cartilage with a wide posterior region and a thinner anterior region; attached to the oesophagus.
crista galli,small upward projection located at the midline in the floor of the anterior cranial fossa; formed by the ethmoid bone.
cross-matching,blood test for determination of compatibility between donor RBC and patient’s plasma.
counter current multiplier system,involves the descending and ascending loops of Henle directing forming urine in opposing directions to create a concentration gradient when combined with variable permeability and sodium pumping.
crown,portion of tooth visible superior to the gum line.
cuboid,"tarsal bone that articulates posteriorly with the calcaneus bone, medially with the lateral cuneiform bone, and anteriorly with the fourth and fifth metatarsal bones."
cupula,specialised structure within the base of a semicircular canal that bends the stereocilia of hair cells when the head rotates by way of the relative movement of the enclosed fluid.
cuspid,"(also, canine) pointed tooth used for tearing and shredding food."
cutaneous membrane,skin; epithelial tissue made up of a stratified squamous epithelial cells that cover the outside of the body.
cuticle,"in hair, the outermost layer of keratinocytes originating from the hair matrix, as seen in a cross-section of the hair bulb."
cyclic adenosine monophosphate (cAMP),"second messenger that, in response to adenylyl cyclase activation, triggers a phosphorylation cascade."
cyclin,one of a group of proteins that function in the progression of the cell cycle.
cyclin-dependent kinase,(CDK) – one of a group of enzymes associated with cyclins that help them perform their functions.
cystic artery,branch of the common hepatic artery; supplies blood to the gall bladder.
cystic duct,duct through which bile drains and enters the gallbladder.
cytokine,"soluble, short-range, cell-to-cell communication molecule."
cytokines,"class of proteins that act as autocrine or paracrine signalling molecules; in the cardiovascular system, they stimulate the proliferation of progenitor cells and help to stimulate both nonspecific and specific resistance to disease."
cytokinesis,"final stage in cell division, where the cytoplasm divides to form two separate daughter cells."
cytoplasm,"internal material between the cell membrane and nucleus of a cell, mainly consisting of a water-based fluid called cytosol, within which are all the other organelles and cellular solute and suspended materials."
cytoskeleton,"“skeleton” of a cell; formed by rod-like proteins that support the cell’s shape and provide, among other functions, locomotive abilities."
cytosol,"clear, semi-fluid medium of the cytoplasm, made up mostly of water."
cytotoxic T cells (Tc),T lymphocytes with the ability to induce apoptosis in target cells.
Dalton’s law,"statement of the principle that a specific gas type in a mixture exerts its own pressure, as if that specific gas type was not part of a mixture of gases."
deciduous tooth,one of 20 “baby teeth”.
decussate,"to cross the midline, as in fibres that project from one side of the body to the other."
deep,describes a position farther from the surface of the body.
deep femoral artery,branch of the femoral artery; gives rise to the lateral circumflex arteries.
deep femoral vein,drains blood from the deeper portions of the thigh and leads to the femoral vein.
defaecation,elimination of undigested substances from the body in the form of faeces.
defensins,antimicrobial proteins released from neutrophils and macrophages that create openings in the plasma membranes to kill cells.
deglutition,three-stage process of swallowing.
dehydration,state of containing insufficient water in blood and other tissues.
dehydration synthesis –,"(also, condensation) reaction that links monomer molecules, releasing a water molecule for each bond formed.."
delayed hypersensitivity,"(type IV) T cell-mediated immune response against pathogens infiltrating interstitial tissues, causing cellular infiltrate."
delta cell,minor cell type in the pancreas that secretes the hormone somatostatin.
deltoid ligament,broad intrinsic ligament located on the medial side of the ankle joint; supports the talus at the talocrural joint and resists excess eversion of the foot.
deltoid tuberosity,"roughened, V-shaped region located laterally on the mid-shaft of the humerus."
denaturation –,"loss of shape in a protein as a result of changes in temperature, pH, or chemical exposure."
dendrite,one of many branchlike processes that extends from the neuron cell body and functions as a contact for incoming signals (synapses) from other neurons or sensory cells.
dens,bony projection (odontoid process) that extends upward from the body of the C2 (axis) vertebra.
dens,tooth.
dense body,sarcoplasmic structure that attaches to the sarcolemma and shortens the muscle as thin filaments slide past thick filaments.
dense connective tissue,connective tissue proper that contains many fibres that provide both elasticity and protection.
dentin,bone-like tissue immediately deep to the enamel of the crown or cementum of the root of a tooth.
dentition,set of teeth.
deoxyhemoglobin,molecule of haemoglobin without an oxygen molecule bound to it.
deoxyribonuclease,pancreatic enzyme that digests DNA.
deoxyribonucleic acid (DNA) –,double-helical molecule that carries the cell’s hereditary information.
depolarise,"to reduce the voltage difference between the inside and outside of a cell’s plasma membrane (the sarcolemma for a muscle fibre), making the inside less negative than at rest."
depolarisation,change in a cell membrane potential from rest toward zero.
depression,downward (inferior) motion of the scapula or mandible.
dermal papilla,(plural = dermal papillae) extension of the papillary layer of the dermis that increases surface contact between the epidermis and dermis.
dermis,"layer of skin between the epidermis and hypodermis, composed mainly of connective tissue and containing blood vessels, hair follicles, sweat glands, and other structures."
descending aorta,portion of the aorta that continues downward past the end of the aortic arch; subdivided into the thoracic aorta and the abdominal aorta.
descending colon,part of the colon between the transverse colon and the sigmoid colon.
descending tract,central nervous system fibres carrying motor commands from the brain to the spinal cord or periphery.
desmosome,structure that forms an impermeable junction between cells.
detrusor muscle,smooth muscle in the bladder wall; fibres run in all directions to reduce the size of the organ when emptying it of urine.
diacylglycerol (DAG),"molecule that, like cAMP, activates protein kinases, thereby initiating a phosphorylation cascade."
diapedesis,"(also, emigration) process by which leukocytes squeeze through adjacent cells in a blood vessel wall to enter tissues."
diaphysis,tubular shaft that runs between the proximal and distal ends of a long bone.
diarthrosis,freely mobile joint.
diastole,period of time when the heart muscle is relaxed and the chambers fill with blood.
diastolic pressure,lower number recorded when measuring arterial blood pressure; represents the minimal value corresponding to the pressure that remains during ventricular relaxation.
diabetes mellitus,condition caused by destruction or dysfunction of the beta cells of the pancreas or cellular resistance to insulin that results in abnormally high blood glucose levels.
diencephalon,region of the adult brain that retains its name from embryonic development and includes the thalamus and hypothalamus.
diffusion,movement of a substance from an area of higher concentration to one of lower concentration.
digital arteries,formed from the superficial and deep palmar arches; supply blood to the digits.
digital veins,drain the digits and feed into the palmar arches of the hand and dorsal venous arch of the foot.
dihydroxyvitamin D,active form of vitamin D required by the intestinal epithelial cells for the absorption of calcium.
dipeptidase,brush border enzyme that acts on proteins.
diploë,"layer of spongy bone, that is sandwiched between two the layers of compact bone found in flat bones."
diploid,"condition marked by the presence of a double complement of genetic material (two sets of chromosomes, one set inherited from each of two parents)."
direct pathway,connections within the basal nuclei from the striatum to the globus pallidus internal segment and substantia nigra pars reticulata that disinhibit the thalamus to increase cortical control of movement.
disaccharide –,two sugar monomers that a glycosidic bond links.
disinhibition,"disynaptic connection in which the first synapse inhibits the second cell, which then stops inhibiting the final target."
distal,describes a position farther from the point of attachment or the trunk of the body.
distal convoluted tubules,portions of the nephron distal to the loop of Henle that receive hyposmotic filtrate from the loop of Henle and empty into collecting ducts.
distal radioulnar joint,articulation between the head of the ulna and the ulnar notch of the radius.
distal tibiofibular joint,articulation between the distal fibula and the fibular notch of the tibia.
diuresis,excess production of urine.
diuretic,"compound that increases urine output, leading to decreased water conservation."
DNA polymerase,enzyme that functions in adding new nucleotides to a growing strand of DNA during DNA replication.
DNA replication,process of duplicating a molecule of DNA.
dorsal,describes the back or direction toward the back of the body; also referred to as posterior.
dorsal arch,"(also, arcuate arch) formed from the anastomosis of the dorsalis pedis artery and medial and plantar arteries; branches supply the distal portions of the foot and digits."
dorsal cavity,posterior body cavity that houses the brain and spinal cord; also referred to the posterior body cavity.
dorsal column system,ascending tract of the spinal cord associated with fine touch and proprioceptive sensations.
dorsal (posterior) nerve root,axons entering the posterior horn of the spinal cord.
dorsal respiratory group (DRG,) – region of the medulla oblongata that stimulates the contraction of the diaphragm and intercostal muscles to induce inspiration.
dorsal (posterior) root ganglion,sensory ganglion attached to the posterior nerve root of a spinal nerve.
dorsal stream,connections between cortical areas from the occipital to parietal lobes that are responsible for the perception of visual motion and guiding movement of the body in relation to that motion.
dorsalis pedis artery,forms from the anterior tibial artery; branches repeatedly to supply blood to the tarsal and dorsal regions of the foot.
dorsal venous arch,drains blood from digital veins and vessels on the superior surface of the foot.
dorsiflexion,movement at the ankle that brings the top of the foot toward the anterior leg.
dorsum nasi,intermediate portion of the external nose that connects the bridge to the apex and is supported by the nasal bone.
downregulation,"decrease in the number of hormone receptors, typically in response to chronically excessive levels of a hormone."
ductus arteriosus,shunt in the foetal pulmonary trunk that diverts oxygenated blood back to the aorta.
ductus deferens,"(also, vas deferens) duct that transports sperm from the epididymis through the spermatic cord and into the ejaculatory duct; also referred as the vas deferens."
ductus venosus,shunt that causes oxygenated blood to bypass the foetal liver on its way to the inferior vena cava.
duodenal gland,"(also, Brunner’s gland) mucous-secreting gland in the duodenal submucosa."
duodenum,"first part of the small intestine, which starts at the pyloric sphincter and ends at the jejunum."
dura mater,"tough, fibrous, outer layer of the meninges that is attached to the inner surface of the cranium and vertebral column and surrounds the entire CNS."
dural sinus,"any of the venous structures surrounding the brain, enclosed within the dura mater, which drain blood from the CNS to the common venous return of the jugular veins."
early induced immune response,includes antimicrobial proteins stimulated during the first several days of an infection.
ear ossicles,three small bones located in the middle ear cavity that serve to transmit sound vibrations to the inner ear.
eccentric contraction,muscle contraction that lengthens the muscle as the tension is diminished.
eccrine sweat gland,type of sweat gland that is common throughout the skin surface; it produces a hypotonic sweat for thermoregulation.
ectoderm,outermost embryonic germ layer from which the epidermis and the nervous tissue derive.
ectopic pregnancy,implantation of an embryo outside of the uterus.
eczema,"skin condition due to an allergic reaction, which resembles a rash."
effector,organ that can cause a change in a value.
efferent lymphatic vessels,lead out of a lymph node.
effector protein,"enzyme that catalyses the generation of a new molecule, which acts as the intracellular mediator of the signal that binds to the receptor."
effector T cells,"immune cells with a direct, adverse effect on a pathogen."
efferent arteriole,arteriole carrying blood from the glomerulus to the capillary beds around the convoluted tubules and loop of Henle; portion of the portal system.
ejaculatory duct,duct that connects the ampulla of the ductus deferens with the duct of the seminal vesicle at the prostatic urethra.
ejection fraction,portion of the blood that is pumped or ejected from the heart with each contraction; mathematically represented by SV divided by EDV.
elastic artery,"(also, conducting artery) artery with abundant elastic fibres located closer to the heart, which maintains the pressure gradient and conducts blood to smaller branches."
elastic cartilage,"type of cartilage, with elastin as the major protein, characterised by rigid support as well as elasticity"
elastic fibres,fibrous protein within connective tissue that contains a high percentage of the protein elastin that allows the fibres to stretch and return to original size.
elasticity,ability to stretch and rebound.
elbow joint,"joint located between the upper arm and forearm regions of the upper limb; formed by the articulations between the trochlea of the humerus and the trochlear notch of the ulna, and the capitulum of the humerus and the head of the radius."
electrical gradient,difference in the electrical charge (potential) between two regions.
electrical synapse,"connection between two neurons, or any two electrically active cells, where ions flow directly through channels spanning their adjacent cell membranes."
electrocardiogram (ECG),surface recording of the electrical activity of the heart that can be used for diagnosis of irregular heart function; also abbreviated as EKG.
electrochemical exclusion,principle of selectively allowing ions through a channel on the basis of their charge.
eleidin,clear protein-bound lipid found in the stratum lucidum that is derived from keratohyalin and helps to prevent water loss.
elevation,upward (superior) motion of the scapula or mandible.
embolus,thrombus that has broken free from the blood vessel wall and entered the circulation.
emigration,"(also, diapedesis) process by which leukocytes squeeze through adjacent cells in a blood vessel wall to enter tissues."
embryo,developing human during weeks 3–8.
embryonic folding,process by which an embryo develops from a flat disc of cells to a three-dimensional shape resembling a cylinder.
enamel,covering of the dentin of the crown of a tooth.
encapsulated ending,"configuration of a sensory receptor neuron with dendrites surrounded by specialised structures to aid in transduction of a particular type of sensation, such as the lamellated corpuscles in the deep dermis and subcutaneous tissue."
end diastolic volume (EDV),"(also, preload) the amount of blood in the ventricles at the end of atrial systole just prior to ventricular contraction."
endocardial tubes,"stage in which lumens form within the expanding cardiogenic cords, forming hollow structures."
endocardium,innermost layer of the heart lining the heart chambers and heart valves; composed of endothelium reinforced with a thin layer of connective tissue that binds to the myocardium.
endochondral ossification,process in which bone forms by replacing hyaline cartilage.
endocrine gland,groups of cells that release chemical signals into the intercellular fluid to be picked up and transported to their target organs by blood.
endocrine system,"cells, tissues, and organs that secrete hormones as a primary or secondary function and play an integral role in normal bodily processes."
endocytosis,import of material into the cell by formation of a membrane-bound vesicle.
endoderm,innermost embryonic germ layer from which most of the digestive system and lower respiratory system derive.
endometrium,"inner lining of the uterus, part of which builds up during the secretory phase of the menstrual cycle and then sheds with menses."
endomysium,"loose, and well-hydrated connective tissue covering each muscle fibre in a skeletal muscle."
endoneurium,innermost layer of connective tissue that surrounds individual axons within a nerve.
endoplasmic reticulum (ER),"cellular organelle that consists of interconnected membrane-bound tubules, which may or may not be associated with ribosomes (rough type or smooth type, respectively)."
endosteum,delicate membranous lining of a bone’s medullary cavity.
end systolic volume (ESV),amount of blood remaining in each ventricle following systole.
endothelins,"group of vasoconstrictive, 21-amino acid peptides; produced by endothelial cells of the renal blood vessels, mesangial cells, and cells of the DCT."
endothelium,"tissue that lines vessels of the lymphatic and cardiovascular system, made up of a simple squamous epithelium."
enteric nervous system (ENS),neural tissue associated with the digestive system that is responsible for nervous control through autonomic connections.
enteric plexus,"neuronal plexus in the wall of the intestines, which is part of the enteric nervous system."
enteroendocrine cell,gastric gland cell that releases hormones.
enterohepatic circulation,recycling mechanism that conserves bile salts.
enteropeptidase,intestinal brush-border enzyme that activates trypsinogen to trypsin.
enzyme –,catalyst in a biochemical reaction that is usually a complex or conjugated protein.
eosinophils,granulocytes that stain with eosin; they release antihistamines and are especially active against parasitic worms.
ependymal cell,glial cell type in the CNS responsible for producing cerebrospinal fluid.
epiblast,upper layer of cells of the embryonic disc that forms from the inner cell mass; gives rise to all three germ layers.
epicardial coronary arteries,surface arteries of the heart that generally follow the sulci.
epicardium,innermost layer of the serous pericardium and the outermost layer of the heart wall.
epidermis,outermost tissue layer of the skin.
epididymis,(plural = epididymides) coiled tubular structure in which sperm start to mature and are stored until ejaculation.
epiglottis,leaf-shaped piece of elastic cartilage that is a portion of the larynx that swings to close the trachea during swallowing.
epimysium,outer layer of connective tissue around a skeletal muscle.
epineurium,outermost layer of connective tissue that surrounds an entire nerve.
epiphyseal line,completely ossified remnant of the epiphyseal plate.
epiphyseal plate,"(also, growth plate) sheet of hyaline cartilage in the metaphysis of an immature bone; replaced by bone tissue as the organ grows in length."
epiphysis,wide section at each end of a long bone; filled with spongy bone and red marrow.
epiploic appendage,small sac of fat-filled visceral peritoneum attached to teniae coli.
epithalamus,region of the diecephalon containing the pineal gland.
epithelial membrane,epithelium attached to a layer of connective tissue.
epithelial tissue,"type of tissue that serves primarily as a covering or lining of body parts, protecting the body; it also functions in absorption, transport, and secretion."
eponychium,"nail fold that meets the proximal end of the nail body, also called the cuticle."
epsilon cell,minor cell type in the pancreas that secretes the hormone ghrelin.
equilibrium,sense of balance that includes sensations of position and movement of the head.
erythroblastosis fetalis,disease of Rh factor-positive newborns in Rh-negative mothers with multiple Rh-positive children; resulting from the action of maternal antibodies against foetal blood.
erythrocyte,"(also, red blood cell) mature myeloid blood cell that is composed mostly of haemoglobin and functions primarily in the transportation of oxygen and carbon dioxide."
erythropoietin (EPO),glycoprotein that triggers the bone marrow to produce haemoglobin and RBCs; secreted by the kidney in response to low oxygen levels.
ethmoid air cell,"one of several small, air-filled spaces located within the lateral sides of the ethmoid bone, between the orbit and upper nasal cavity."
ethmoid bone,"unpaired bone that forms the roof and upper, lateral walls of the nasal cavity, portions of the floor of the anterior cranial fossa and medial wall of orbit, and the upper portion of the nasal septum."
eversion,"foot movement involving the intertarsal joints of the foot in which the bottom of the foot is turned laterally, away from the midline."
excitability,ability to undergo neural stimulation.
excitable membrane,cell membrane that regulates the movement of ions so that an electrical signal can be generated.
excitation-contraction coupling,sequence of events from motor neuron signalling to a skeletal muscle fibre to contraction of the fibre’s sarcomeres.
excitatory postsynaptic potential (EPSP),graded potential in the postsynaptic membrane that is the result of depolarisation and makes an action potential more likely to occur.
executive functions,"cognitive processes of the prefrontal cortex that lead to directing goal-directed behaviour, which is a precursor to executing motor commands."
exocrine gland,group of epithelial cells that secrete substances through ducts that open to the skin or to internal body surfaces that lead to the exterior of the body.
exocrine system,"cells, tissues, and organs that secrete substances directly to target tissues via glandular ducts."
exocytosis,export of a substance out of a cell by formation of a membrane-bound vesicle.
exon,one of the coding regions of an mRNA molecule that remain after splicing.
expiration,"(also, exhalation) process that causes the air to leave the lungs."
expiratory reserve volume (ERV),amount of air that can be forcefully exhaled after a normal tidal exhalation.
extensibility,ability to lengthen (extend).
extension,movement in the sagittal plane that increases the angle of a joint (straightens the joint); motion involving posterior bending of the vertebral column or returning to the upright position from a flexed position.
external acoustic meatus,ear canal opening located on the lateral side of the skull.
external anal sphincter,voluntary skeletal muscle sphincter in the anal canal.
external callus,collar of hyaline cartilage and bone that forms around the outside of a fracture.
external carotid artery,"arises from the common carotid artery; supplies blood to numerous structures within the face, lower jaw, neck, oesophagus, and larynx."
external ear,"structures on the lateral surface of the head, including the auricle and the ear canal back to the tympanic membrane."
external elastic membrane,membrane composed of elastic fibres that separates the tunica media from the tunica externa; seen in larger arteries.
external iliac artery,branch of the common iliac artery that leaves the body cavity and becomes a femoral artery; supplies blood to the lower limbs.
external iliac vein,formed when the femoral vein passes into the body cavity; drains the legs and leads to the common iliac vein.
external jugular vein,"one of a pair of major veins located in the superficial neck region that drains blood from the more superficial portions of the head, scalp, and cranial regions, and leads to the subclavian vein."
external nose,region of the nose that is easily visible to others.
external occipital protuberance,small bump located at the midline on the posterior skull.
external respiration,gas exchange that occurs in the alveoli.
external root sheath,"outer layer of the hair follicle that is an extension of the epidermis, which encloses the hair root."
external urinary sphincter,skeletal muscle; must be relaxed consciously to void urine.
exteroceptor,"sensory receptor that is positioned to interpret stimuli from the external environment, such as photoreceptors in the eye or somatosensory receptors in the skin."
extracellular fluid (ECF),"fluid exterior to cells; includes the interstitial fluid, blood plasma, and fluid found in other reservoirs in the body."
extraocular muscles,six skeletal muscles that control eye movement within the orbit.
extrapyramidal system,pathways between the brain and spinal cord that are separate from the corticospinal tract and are responsible for modulating the movements generated through that primary pathway.
extrinsic ligament,ligament located outside of the articular capsule of a synovial joint.
extrinsic pathway,initial coagulation pathway that begins with tissue damage and results in the activation of the common pathway.
facet,"small, flattened area on a bone for an articulation (joint) with another bone, or for muscle attachment."
facial bones,fourteen bones that support the facial structures and form the upper and lower jaws and the hard palate.
facial nerve,"seventh cranial nerve; responsible for contraction of the facial muscles and for part of the sense of taste, as well as causing saliva production."
facilitated diffusion,diffusion of a substance with the aid of a membrane protein.
faeces,semisolid waste product of digestion.
false ribs,vertebrochondral ribs 8–12 whose costal cartilage either attaches indirectly to the sternum via the costal cartilage of the next higher rib or does not attach to the sternum at all.
fascicle,bundle of muscle fibres within a skeletal muscle.
fasciculus cuneatus,lateral division of the dorsal column system composed of fibres from sensory neurons in the upper body.
fasciculus gracilis,medial division of the dorsal column system composed of fibres from sensory neurons in the lower body.
fas ligand,molecule expressed on cytotoxic T cells and NK cells that binds to the fas molecule on a target cell and induces it do undergo apoptosis.
fast glycolytic (FG),muscle fibre that primarily uses anaerobic glycolysis.
fast oxidative (FO),intermediate muscle fibre that is between slow oxidative and fast glycolytic fibres.
fauces,portion of the posterior oral cavity that connects the oral cavity to the oropharynx.
Fc region,"in an antibody molecule, the site where the two termini of the heavy chains come together; many cells have receptors for this portion of the antibody, adding functionality to these molecules."
femoral artery,"continuation of the external iliac artery after it passes through the body cavity; divides into several smaller branches, the lateral deep femoral artery, and the genicular artery; becomes the popliteal artery as it passes posterior to the knee."
femoral circumflex vein,forms a loop around the femur just inferior to the trochanters; drains blood from the areas around the head and neck of the femur; leads to the femoral vein.
femoral nerve,systemic nerve of the anterior leg that arises from the lumbar plexus.
femoral vein,"drains the upper leg; receives blood from the great saphenous vein, the deep femoral vein, and the femoral circumflex vein; becomes the external iliac vein when it crosses the body wall."
femoropatellar joint –,portion of the knee joint consisting of the articulation between the distal femur and the patella.
femur,thigh bone; the single bone of the thigh.
fenestrated capillary,type of capillary with pores or fenestrations in the endothelium that allow for rapid passage of certain small materials.
fenestrations,"small windows through a cell, allowing rapid filtration based on size; formed in such a way as to allow substances to cross through a cell without mixing with cell contents."
ferritin,"protein-containing storage form of iron found in the bone marrow, liver, and spleen."
fertilisation,unification of genetic material from male and female haploid gametes.
fertilisation membrane,impenetrable barrier that coats a nascent zygote; part of the slow block to polyspermy.
fibrin,"insoluble, filamentous protein that forms the structure of a blood clot."
fibrinogen,plasma protein produced in the liver and involved in blood clotting.
fibrinolysis,gradual degradation of a blood clot.
fibrocyte,less active form of fibroblast.
fibroelastic membrane,specialised membrane that connects the ends of the C-shape cartilage in the trachea; contains smooth muscle fibres.
fibrosis,replacement of muscle fibres by scar tissue.
fibrous joint,joint where the articulating areas of the adjacent bones are connected by fibrous connective tissue.
fibrous tunic,outer layer of the eye primarily composed of connective tissue known as the sclera and cornea.
fibula,"thin, non-weight-bearing bone found on the lateral side of the leg."
fibular collateral ligament,extrinsic ligament of the knee joint that spans from the lateral epicondyle of the femur to the head of the fibula; resists hyperextension and rotation of the extended knee.
fibular nerve,systemic nerve of the posterior leg that begins as part of the sciatic nerve.
fibular notch,wide groove on the lateral side of the distal tibia for articulation with the fibula at the distal tibiofibular joint.
fibular vein,drains the muscles and integument near the fibula and leads to the popliteal vein.
filling time,duration of ventricular diastole during which filling occurs.
filtration,"in the cardiovascular system, the movement of material from a capillary into the interstitial fluid, moving from an area of higher pressure to lower pressure."
fimbriae,finger-like projections on the distal uterine tubes.
first messenger,hormone that binds to a cell membrane hormone receptor and triggers activation of a second messenger system.
filtration slits,formed by pedicels of podocytes; substances filter between the pedicels based on size.
flagellum,appendage on certain cells formed by microtubules and modified for movement.
flat bone,thin and curved bone; serves as a point of attachment for muscles and protects internal organs.
flatus,gas in the intestine.
flexion,movement in the sagittal plane that decreases the angle of a joint (bends the joint); motion involving anterior bending of the vertebral column.
flexor retinaculum,strong band of connective tissue at the anterior wrist that spans the top of the U-shaped grouping of the carpal bones to form the roof of the carpal tunnel.
floating ribs,vertebral ribs 11–12 that do not attach to the sternum or to the costal cartilage of another rib.
fluid compartment,fluid inside all cells of the body constitutes a compartment system that is largely segregated from other systems.
fluid connective tissue,"specialised cells that circulate in a watery fluid containing salts, nutrients, and dissolved proteins."
foetus,developing human during the time from the end of the embryonic period (week 9) to birth.
follicle,ovarian structure of one oocyte and surrounding granulosa (and later theca) cells.
follicle-stimulating hormone (FSH),anterior pituitary hormone that stimulates the production and maturation of sex cells.
folliculogenesis,development of ovarian follicles from primordial to tertiary under the stimulation of gonadotropins.
fontanelle,expanded area of fibrous connective tissue that separates the brain-case bones of the skull prior to birth and during the first year after birth.
foot,portion of the lower limb located distal to the ankle joint.
foramen lacerum,"irregular opening in the base of the skull, located inferior to the exit of carotid canal."
foramen magnum,large opening in the occipital bone of the skull through which the spinal cord emerges and the vertebral arteries enter the cranium.
foramen ovale,"opening in the foetal heart that allows blood to flow directly from the right atrium to the left atrium, bypassing the foetal pulmonary circuit."
foramen ovale of the middle cranial fossa,oval-shaped opening in the floor of the middle cranial fossa.
foramen rotundum,"round opening in the floor of the middle cranial fossa, located between the superior orbital fissure and foramen ovale."
foramen spinosum,"small opening in the floor of the middle cranial fossa, located lateral to the foramen ovale."
forced breathing,"(also, hyperpnoea) mode of breathing that occurs during exercise or by active thought that requires muscle contraction for both inspiration and expiration."
forearm,region of the upper limb located between the elbow and wrist joints; contains the radius and ulna bones.
forebrain,anterior region of the adult brain that develops from the prosencephalon and includes the cerebrum and diencephalon.
foregut,endoderm of the embryo towards the head region.
forming urine,filtrate undergoing modifications through secretion and reabsorption before true urine is produced.
fossa,(plural = fossae) shallow depression on the surface of a bone.
fossa ovalis,oval-shaped depression in the interatrial septum that marks the former location of the foramen ovale.
fourth ventricle,the portion of the ventricular system that is in the region of the brain stem and opens into the subarachnoid space through the median and lateral apertures.
fovea,"exact centre of the retina at which visual stimuli are focused for maximal acuity, where the retina is thinnest, at which there is nothing but photoreceptors."
fovea capitis,minor indentation on the head of the femur that serves as the site of attachment for the ligament to the head of the femur.
fracture,broken bone.
fracture haematoma,blood clot that forms at the site of a broken bone.
Frank-Starling mechanism,relationship between ventricular stretch and contraction in which the force of heart contraction is directly proportional to the initial length of the muscle fibre.
free nerve ending,"configuration of a sensory receptor neuron with dendrites in the connective tissue of the organ, such as in the dermis of the skin, that are most often sensitive to chemical, thermal, and mechanical stimuli."
frontal bone,"unpaired bone that forms forehead, roof of orbit, and floor of anterior cranial fossa."
frontal eye field,region of the frontal lobe associated with motor commands to orient the eyes toward an object of visual attention.
frontal lobe,region of the cerebral cortex directly beneath the frontal bone of the cranium.
frontal plane,"two-dimensional, vertical plane that divides the body or organ into anterior and posterior portions."
frontal sinus,air-filled space within the frontal bone; most anterior of the paranasal sinuses.
full thickness burns,burn that penetrates and destroys the full thickness of the skin (epidermis and dermis).
functional residual capacity (FRC),"sum of ERV and RV, which is the amount of air that remains in the lungs after a tidal expiration."
fundus,dome-shaped region of the stomach above and to the left of the cardia.
fundus,(of the uterus) domed portion of the uterus that is superior to the uterine tubes.
G cell,gastrin-secreting enteroendocrine cell.
gallbladder,accessory digestive organ that stores and concentrates bile.
gamete,haploid reproductive cell that contributes genetic material to form an offspring.
gamma cell,(PP cell) – minor cell type in the pancreas that secretes the hormone pancreatic polypeptide.
ganglion,localised collection of neuron cell bodies in the peripheral nervous system.
gap junction,allows cytoplasmic communications to occur between cells.
gastric emptying,process by which mixing waves gradually cause the release of chyme into the duodenum.
gastric gland,gland in the stomach mucosal epithelium that produces gastric juice.
gastric phase,phase of gastric secretion that begins when food enters the stomach.
gastric pit,narrow channel formed by the epithelial lining of the stomach mucosa.
gastric plexuses,neuronal networks in the wall of the stomach that are part of the enteric nervous system.
gastrin,peptide hormone that stimulates secretion of hydrochloric acid and gut motility.
gastrocolic reflex,propulsive movement in the colon activated by the presence of food in the stomach.
gastroileal reflex,long reflex that increases the strength of segmentation in the ileum.
gastrointestinal microbiota,collection of microorganisms in the gastrointestinal tract.
gastrointestinal tract (alimentary canal),continuous muscular digestive tube that extends from the mouth to the anus.
gastrulation,process of cell migration and differentiation into three primary germ layers following cleavage and implantation.
gated,"property of a channel that determines how it opens under specific conditions, such as voltage change or physical deformation."
glassy membrane,"layer of connective tissue that surrounds the base of the hair follicle, connecting it to the dermis."
gene,functional length of DNA that provides the genetic information necessary to build a protein.
gene expression,active interpretation of the information coded in a gene to produce a functional gene product.
general adaptation syndrome (GAS),the human body’s three-stage response pattern to short- and long-term stress.
general sense,"any sensory system that is distributed throughout the body and incorporated into organs of multiple other systems, such as the walls of the digestive organs or the skin."
generator potential,graded potential from dendrites of a unipolar cell which generates the action potential in the initial segment of that cell’s axon.
genicular artery,branch of the femoral artery; supplies blood to the region of the knee.
genome,entire complement of an organism’s DNA; found within virtually every cell.
germinal centres,clusters of rapidly proliferating B cells found in secondary lymphoid tissues.
gestation,"in human development, the period required for embryonic and foetal development in utero; pregnancy."
gigantism,disorder in children caused when abnormally high levels of GH prompt excessive growth.
gingiva,gum.
glabella,"slight depression of frontal bone, located at the midline between the eyebrows."
glans penis,bulbous end of the penis that contains many nerve endings.
glenohumeral joint,shoulder joint; formed by the articulation between the glenoid cavity of the scapula and the head of the humerus.
glenohumeral ligament,one of the three intrinsic ligaments of the shoulder joint that strengthen the anterior articular capsule.
glenoid cavity,"(also, glenoid fossa) shallow depression located on the lateral scapula, between the superior and lateral borders."
glenoid labrum,lip of fibrocartilage located around the outside margin of the glenoid cavity of the scapula.
glial cell,"one of the various types of neural tissue cells responsible for maintenance of the tissue, and for supporting neurons."
